xvalues,yvalues,Result,CPUtime,customPowResult,CPUtimeCust,LossofAccuracy
20.400000,2.000000,416.160000,0.000005,1470317654.591078,0.000007,-1470317238.431078
20.400000,2.500000,1879.643203,0.000005,1470317654.591078,0.000006,-1470315774.947875
20.400000,3.000000,8489.664000,0.000005,1470317654.591078,0.000006,-1470309164.927078
20.400000,3.100000,11477.664319,0.000005,1470317654.591078,0.000006,-1470306176.926759
20.400000,4.200000,316553.196411,0.000005,1470317654.591078,0.000005,-1470001101.394667
20.400000,5.300000,8730515.492824,0.000006,1470317654.591078,0.000006,-1461587139.098254
20.400000,6.400000,240787019.795209,0.000005,1470317654.591078,0.000006,-1229530634.795869
20.400000,7.000000,1470317654.591078,0.000006,1470317654.591078,0.000006,-0.000000
20.400000,8.300000,74119143080.867477,0.000006,1470317654.591078,0.000006,72648825426.276398
20.400000,9.000000,611887395134.622803,0.000007,1470317654.591078,0.000006,610417077480.031738
25.200000,2.000000,635.040000,0.000005,162631372156.122528,0.000006,-162631371521.082520
25.200000,2.500000,3187.875500,0.000005,162631372156.122528,0.000007,-162631368968.247040
25.200000,3.000000,16003.008000,0.000005,162631372156.122528,0.000006,-162631356153.114532
25.200000,3.100000,22097.425400,0.000007,162631372156.122528,0.000008,-162631350058.697113
25.200000,4.200000,768921.972364,0.000006,162631372156.122528,0.000006,-162630603234.150177
25.200000,5.300000,26756103.431449,0.000006,162631372156.122528,0.000006,-162604616052.691071
25.200000,6.400000,931029540.791312,0.000006,162631372156.122528,0.000006,-161700342615.331207
25.200000,7.000000,6453625879.211211,0.000006,162631372156.122528,0.000006,-156177746276.911316
25.200000,8.300000,428178137262.303589,0.000007,162631372156.122528,0.000006,265546765106.181061
25.200000,9.000000,4098310578334.287598,0.000006,162631372156.122528,0.000006,3935679206178.165039
30.000000,2.000000,900.000000,0.000004,19683000000000.000000,0.000005,-19682999999100.000000
30.000000,2.500000,4929.503018,0.000005,19683000000000.000000,0.000005,-19682999995070.496094
30.000000,3.000000,27000.000000,0.000004,19683000000000.000000,0.000005,-19682999973000.000000
30.000000,3.100000,37938.127315,0.000005,19683000000000.000000,0.000005,-19682999962061.871094
30.000000,4.200000,1599223.893526,0.000006,19683000000000.000000,0.000005,-19682998400776.105469
30.000000,5.300000,67412844.086534,0.000006,19683000000000.000000,0.000005,-19682932587155.914062
30.000000,6.400000,2841685624.027905,0.000006,19683000000000.000000,0.000005,-19680158314375.972656
30.000000,7.000000,21870000000.000000,0.000005,19683000000000.000000,0.000005,-19661130000000.000000
30.000000,8.300000,1820146790336.422363,0.000007,19683000000000.000000,0.000005,-17862853209663.578125
30.000000,9.000000,19683000000000.000000,0.000005,19683000000000.000000,0.000005,0.000000
